txn_id,segment,amount
OPS-0126,Operations,114.4
OPS-0127,Operations,61276.77
OPS-0128,Operations,43267.88
OPS-0129,Operations,31260.55
OPS-0130,Operations,836.65
OPS-0131,Operations,149.2
OPS-0132,Operations,43055.52
OPS-0133,Operations,69318.37
OPS-0134,Operations,180.7
OPS-0135,Operations,2870.59
OPS-0136,Operations,161.3
OPS-0137,Operations,19134.03
OPS-0138,Operations,19838.25
OPS-0139,Operations,242.76
OPS-0140,Operations,2665.92
OPS-0141,Operations,4460.78
OPS-0142,Operations,623.98
OPS-0143,Operations,41428.49
OPS-0144,Operations,1859.58
OPS-0145,Operations,431.91
OPS-0146,Operations,4148.47
OPS-0147,Operations,15480.79
OPS-0148,Operations,401.29
OPS-0149,Operations,861.29
OPS-0150,Operations,96704.81
OPS-0151,Operations,8905.01
OPS-0152,Operations,2062.06
OPS-0153,Operations,3570.49
OPS-0154,Operations,230.68
OPS-0155,Operations,472.16
OPS-0156,Operations,1033.37
OPS-0157,Operations,5820.04
OPS-0158,Operations,490.17
OPS-0159,Operations,457.78
OPS-0160,Operations,163.3
OPS-0161,Operations,7821.84
OPS-0162,Operations,486.21
OPS-0163,Operations,52030.74
OPS-0164,Operations,37923.31
OPS-0165,Operations,163.14
OPS-0166,Operations,517.62
OPS-0167,Operations,10160.93
OPS-0168,Operations,439.25
OPS-0169,Operations,249.42
OPS-0170,Operations,64053.48
OPS-0171,Operations,5165.7
OPS-0172,Operations,2618.26
OPS-0173,Operations,22586.99
OPS-0174,Operations,26453.98
OPS-0175,Operations,372.59
OPS-0176,Operations,195.34
OPS-0177,Operations,1964.05
OPS-0178,Operations,1865.24
OPS-0179,Operations,2518.11
OPS-0180,Operations,15389.61
OPS-0181,Operations,10473.54
OPS-0182,Operations,89638.72
OPS-0183,Operations,197.36
OPS-0184,Operations,1613.85
OPS-0185,Operations,1042.1
OPS-0186,Operations,38460.74
OPS-0187,Operations,557.15
OPS-0188,Operations,372.07
OPS-0189,Operations,2217.38
OPS-0190,Operations,1843.51
OPS-0191,Operations,684.91
OPS-0192,Operations,561.59
OPS-0193,Operations,58856.82
OPS-0194,Operations,2134.97
OPS-0195,Operations,38374.91
OPS-0196,Operations,4476.88
OPS-0197,Operations,141.83
OPS-0198,Operations,99505.57
OPS-0199,Operations,32216.83
OPS-0200,Operations,80721.42
OPS-0201,Operations,60131.35
OPS-0202,Operations,35163.1
OPS-0203,Operations,315.45
OPS-0204,Operations,2863.67
OPS-0205,Operations,437.77
OPS-0206,Operations,1596.32
OPS-0207,Operations,149.94
OPS-0208,Operations,1370.63
OPS-0209,Operations,90349.66
OPS-0210,Operations,624.61
OPS-0211,Operations,22501.52
OPS-0212,Operations,2317.53
OPS-0213,Operations,1857.9
OPS-0214,Operations,74465.12
OPS-0215,Operations,96887.57
OPS-0216,Operations,4648.42
OPS-0217,Operations,14296.34
OPS-0218,Operations,291.33
OPS-0219,Operations,776.47
OPS-0220,Operations,80561.6
OPS-0221,Operations,5464.38
OPS-0222,Operations,4232.39
OPS-0223,Operations,17535.84
OPS-0224,Operations,148.42
OPS-0225,Operations,5656.3
OPS-0226,Operations,3225.16
OPS-0227,Operations,36154.28
OPS-0228,Operations,296.69
OPS-0229,Operations,76267.01
OPS-0230,Operations,173.91
OPS-0231,Operations,360.97
OPS-0232,Operations,6096.85
OPS-0233,Operations,10608.1
OPS-0234,Operations,507.71
OPS-0235,Operations,228.91
OPS-0236,Operations,46866.44
OPS-0237,Operations,547.83
OPS-0238,Operations,6075.16
OPS-0239,Operations,7213.48
OPS-0240,Operations,1809.98
OPS-0241,Operations,5636.6
OPS-0242,Operations,3701.25
OPS-0243,Operations,63696.97
OPS-0244,Operations,409.99
OPS-0245,Operations,14079.12
OPS-0246,Operations,520.07
OPS-0247,Operations,1539.42
OPS-0248,Operations,10353.11
OPS-0249,Operations,794.31
OPS-0250,Operations,888.24
OPS-0251,Operations,18013.31
OPS-0252,Operations,165.06
OPS-0253,Operations,2370.59
OPS-0254,Operations,98938.04
OPS-0255,Operations,97339.55
OPS-0256,Operations,165.88
OPS-0257,Operations,435.98
OPS-0258,Operations,624.6
OPS-0259,Operations,63063.51
OPS-0260,Operations,43912.94
OPS-0261,Operations,43432.09
OPS-0262,Operations,1284.05
OPS-0263,Operations,297.33
OPS-0264,Operations,31712.82
OPS-0265,Operations,12900.89
OPS-0266,Operations,6839.64
OPS-0267,Operations,91558.61
OPS-0268,Operations,9160.71
OPS-0269,Operations,105.55
OPS-0270,Operations,28269.13
OPS-0271,Operations,790.93
OPS-0272,Operations,9776.11
OPS-0273,Operations,65582.81
OPS-0274,Operations,252.86
OPS-0275,Operations,221.97
OPS-0276,Operations,209.46
OPS-0277,Operations,4567.42
OPS-0278,Operations,656.21
OPS-0279,Operations,6523.63
OPS-0280,Operations,14217.94
OPS-0281,Operations,408.12
OPS-0282,Operations,7993.07
OPS-0283,Operations,619.37
OPS-0284,Operations,2921.43
OPS-0285,Operations,52000.73
OPS-0286,Operations,34539.11
OPS-0287,Operations,189.19
OPS-0288,Operations,1865.21
OPS-0289,Operations,676.15
OPS-0290,Operations,102.48
OPS-0291,Operations,20575.84
OPS-0292,Operations,8153.43
OPS-0293,Operations,610.75
OPS-0294,Operations,16737.58
OPS-0295,Operations,4518.99
OPS-0296,Operations,1918.94
OPS-0297,Operations,106.91
OPS-0298,Operations,168.16
OPS-0299,Operations,44598.39
OPS-0300,Operations,51497.45
OPS-0301,Operations,4332.82
OPS-0302,Operations,31899.59
OPS-0303,Operations,5591.5
OPS-0304,Operations,278.15
OPS-0305,Operations,241.18
OPS-0306,Operations,840.96
OPS-0307,Operations,49767.34
OPS-0308,Operations,24454.96
OPS-0309,Operations,38203.9
OPS-0310,Operations,49747.8
OPS-0311,Operations,426.81
OPS-0312,Operations,560.52
OPS-0313,Operations,203.41
OPS-0314,Operations,21895.19
OPS-0315,Operations,44916.31
OPS-0316,Operations,1656.27
OPS-0317,Operations,7277.54
OPS-0318,Operations,290.84
OPS-0319,Operations,61608.84
OPS-0320,Operations,39247.96
OPS-0321,Operations,84843.41
OPS-0322,Operations,27059.21
OPS-0323,Operations,44080.71
OPS-0324,Operations,118.67
OPS-0325,Operations,16206.66
OPS-0326,Operations,992.1
OPS-0327,Operations,62007.99
OPS-0328,Operations,25509.7
OPS-0329,Operations,39101.38
OPS-0330,Operations,27055.03
OPS-0331,Operations,631.56
OPS-0332,Operations,23020.97
OPS-0333,Operations,211.0
OPS-0334,Operations,41352.36
OPS-0335,Operations,37651.28
OPS-0336,Operations,464.84
OPS-0337,Operations,28168.25
OPS-0338,Operations,2403.86
OPS-0339,Operations,823.33
OPS-0340,Operations,24324.08
OPS-0341,Operations,481.71
OPS-0342,Operations,117.76
OPS-0343,Operations,379.66
OPS-0344,Operations,965.57
OPS-0345,Operations,39179.49
OPS-0346,Operations,79554.97
OPS-0347,Operations,687.66
OPS-0348,Operations,8403.21
OPS-0349,Operations,1581.38
OPS-0350,Operations,87790.81
OPS-0351,Operations,4061.13
OPS-0352,Operations,65722.1
OPS-0353,Operations,221.83
OPS-0354,Operations,81508.3
OPS-0355,Operations,343.32
OPS-0356,Operations,77197.45
OPS-0357,Operations,625.75
OPS-0358,Operations,211.45
OPS-0359,Operations,2012.29
OPS-0360,Operations,15333.28
OPS-0361,Operations,873.04
OPS-0362,Operations,6586.07
OPS-0363,Operations,3421.91
OPS-0364,Operations,1430.82
OPS-0365,Operations,5367.4
OPS-0366,Operations,580.99
OPS-0367,Operations,13376.91
OPS-0368,Operations,101.18
OPS-0369,Operations,59803.35
OPS-0370,Operations,4124.35
OPS-0371,Operations,14397.6
OPS-0372,Operations,16820.94
OPS-0373,Operations,10277.45
OPS-0374,Operations,1237.84
OPS-0375,Operations,162.15
OPS-0376,Operations,9833.61
OPS-0377,Operations,978.59
OPS-0378,Operations,874.47
OPS-0379,Operations,34998.21
OPS-0380,Operations,14429.88
OPS-0381,Operations,796.1
OPS-0382,Operations,846.94
OPS-0383,Operations,1679.5
OPS-0384,Operations,1611.39
OPS-0385,Operations,770.84
OPS-0386,Operations,240.91
OPS-0387,Operations,1825.32
OPS-0388,Operations,66235.53
OPS-0389,Operations,10763.51
OPS-0390,Operations,51099.5
OPS-0391,Operations,7023.36
OPS-0392,Operations,799.56
OPS-0393,Operations,4403.64
OPS-0394,Operations,100.28
OPS-0395,Operations,725.67
OPS-0396,Operations,1948.34
OPS-0397,Operations,5494.83
OPS-0398,Operations,9206.97
OPS-0399,Operations,2482.93
OPS-0400,Operations,2120.7
OPS-0401,Operations,437.63
OPS-0402,Operations,2627.6
OPS-0403,Operations,50529.21
OPS-0404,Operations,24438.49
OPS-0405,Operations,322.9
OPS-0406,Operations,179.63
OPS-0407,Operations,3518.49
OPS-0408,Operations,7921.78
OPS-0409,Operations,1012.9
OPS-0410,Operations,28527.94
OPS-0411,Operations,17923.15
OPS-0412,Operations,10432.47
OPS-0413,Operations,471.98
OPS-0414,Operations,395.72
OPS-0415,Operations,118.38
OPS-0416,Operations,542.66
OPS-0417,Operations,2663.23
OPS-0418,Operations,35417.11
OPS-0419,Operations,165.38
OPS-0420,Operations,1751.15
OPS-0421,Operations,7749.9
OPS-0422,Operations,383.09
OPS-0423,Operations,12276.17
OPS-0424,Operations,3041.81
OPS-0425,Operations,539.45
OPS-0426,Operations,9293.39
OPS-0427,Operations,103.9
OPS-0428,Operations,17901.67
OPS-0429,Operations,20423.89
OPS-0430,Operations,208.82
OPS-0431,Operations,1885.55
OPS-0432,Operations,337.02
OPS-0433,Operations,74799.4
OPS-0434,Operations,3579.92
OPS-0435,Operations,141.47
OPS-0436,Operations,559.24
OPS-0437,Operations,35075.92
OPS-0438,Operations,2340.91
OPS-0439,Operations,25365.87
OPS-0440,Operations,10063.13
OPS-0441,Operations,91976.6
OPS-0442,Operations,6114.44
OPS-0443,Operations,70813.95
OPS-0444,Operations,47236.51
OPS-0445,Operations,6885.84
OPS-0446,Operations,14382.09
OPS-0447,Operations,3268.39
OPS-0448,Operations,31024.69
OPS-0449,Operations,4401.65
OPS-0450,Operations,49161.41
OPS-0451,Operations,17020.27
OPS-0452,Operations,2654.75
OPS-0453,Operations,599.2
OPS-0454,Operations,551.72
OPS-0455,Operations,8184.35
OPS-0456,Operations,19835.4
OPS-0457,Operations,3663.53
OPS-0458,Operations,7590.06
OPS-0459,Operations,666.49
OPS-0460,Operations,170.79
OPS-0461,Operations,719.75
OPS-0462,Operations,653.35
OPS-0463,Operations,910.18
OPS-0464,Operations,4173.08
OPS-0465,Operations,260.09
OPS-0466,Operations,494.07
OPS-0467,Operations,12073.95
OPS-0468,Operations,13160.05
OPS-0469,Operations,155.84
OPS-0470,Operations,1670.31
OPS-0471,Operations,4244.57
OPS-0472,Operations,1767.35
OPS-0473,Operations,417.35
OPS-0474,Operations,1821.51
OPS-0475,Operations,51822.15
OPS-0476,Operations,5652.47
OPS-0477,Operations,12205.88
OPS-0478,Operations,37170.3
OPS-0479,Operations,19805.41
OPS-0480,Operations,1384.02
OPS-0481,Operations,104.16
OPS-0482,Operations,1135.73
OPS-0483,Operations,18214.84
OPS-0484,Operations,36336.56
OPS-0485,Operations,72492.16
OPS-0486,Operations,1807.44
OPS-0487,Operations,17480.22
OPS-0488,Operations,4349.08
OPS-0489,Operations,6452.94
OPS-0490,Operations,458.79
OPS-0491,Operations,455.27
OPS-0492,Operations,2030.06
OPS-0493,Operations,122.2
OPS-0494,Operations,1019.5
OPS-0495,Operations,10899.98
OPS-0496,Operations,1632.86
OPS-0497,Operations,312.7
OPS-0498,Operations,2524.47
OPS-0499,Operations,241.48
OPS-0500,Operations,7358.19
OPS-0501,Operations,120.48
OPS-0502,Operations,1520.76
OPS-0503,Operations,4933.74
OPS-0504,Operations,120.59
OPS-0505,Operations,8477.13
OPS-0506,Operations,255.33
OPS-0507,Operations,2427.14
OPS-0508,Operations,141.53
OPS-0509,Operations,1371.87
OPS-0510,Operations,431.5
OPS-0511,Operations,956.18
OPS-0512,Operations,19217.16
OPS-0513,Operations,1372.08
OPS-0514,Operations,18031.4
OPS-0515,Operations,31316.47
OPS-0516,Operations,571.23
OPS-0517,Operations,176.08
OPS-0518,Operations,114.33
OPS-0519,Operations,4152.0
OPS-0520,Operations,99936.35
OPS-0521,Operations,1121.71
OPS-0522,Operations,8921.38
OPS-0523,Operations,22064.76
OPS-0524,Operations,9021.19
OPS-0525,Operations,18310.48
OPS-0526,Operations,70604.96
OPS-0527,Operations,396.35
OPS-0528,Operations,115.12
OPS-0529,Operations,286.51
OPS-0530,Operations,239.15
OPS-0531,Operations,10194.75
OPS-0532,Operations,4919.36
OPS-0533,Operations,450.71
OPS-0534,Operations,12542.81
OPS-0535,Operations,19984.55
OPS-0536,Operations,318.69
OPS-0537,Operations,6633.5
OPS-0538,Operations,17529.8
OPS-0539,Operations,220.6
OPS-0540,Operations,28701.43
OPS-0541,Operations,78372.25
OPS-0542,Operations,211.01
OPS-0543,Operations,119.41
OPS-0544,Operations,862.72
OPS-0545,Operations,10765.69
OPS-0546,Operations,74906.33
OPS-0547,Operations,1548.69
OPS-0548,Operations,13965.1
OPS-0549,Operations,169.04
OPS-0550,Operations,11798.95
OPS-0551,Operations,7616.0
OPS-0552,Operations,202.16
OPS-0553,Operations,20770.29
OPS-0554,Operations,35553.28
OPS-0555,Operations,6327.54
OPS-0556,Operations,230.76
OPS-0557,Operations,89440.26
OPS-0558,Operations,22279.53
OPS-0559,Operations,1100.55
OPS-0560,Operations,1928.12
OPS-0561,Operations,1293.34
OPS-0562,Operations,3295.2
OPS-0563,Operations,1056.07
OPS-0564,Operations,35377.48
OPS-0565,Operations,29308.44
OPS-0566,Operations,207.31
OPS-0567,Operations,76271.57
OPS-0568,Operations,8067.8
OPS-0569,Operations,30628.23
OPS-0570,Operations,13241.16
OPS-0571,Operations,2025.17
OPS-0572,Operations,15899.59
OPS-0573,Operations,78780.95
OPS-0574,Operations,646.02
OPS-0575,Operations,26582.61
OPS-0576,Operations,4116.41
OPS-0577,Operations,2821.58
OPS-0578,Operations,2026.39
OPS-0579,Operations,15598.35
OPS-0580,Operations,638.54
OPS-0581,Operations,35903.72
OPS-0582,Operations,31059.4
OPS-0583,Operations,181.97
OPS-0584,Operations,44146.22
OPS-0585,Operations,539.0
OPS-0586,Operations,2478.14
OPS-0587,Operations,6776.34
OPS-0588,Operations,1370.78
OPS-0589,Operations,121.93
OPS-0590,Operations,35715.65
OPS-0591,Operations,351.17
OPS-0592,Operations,432.87
OPS-0593,Operations,24745.55
OPS-0594,Operations,1049.58
OPS-0595,Operations,43748.17
OPS-0596,Operations,12692.62
OPS-0597,Operations,674.23
OPS-0598,Operations,107.26
OPS-0599,Operations,69853.43
PRC-0000,Procurement-VendorX,44280.65
PRC-0001,Procurement-VendorX,76003.73
PRC-0002,Procurement-VendorX,64428.89
PRC-0003,Procurement-VendorX,77908.23
PRC-0004,Procurement-VendorX,74530.47
PRC-0005,Procurement-VendorX,72295.14
PRC-0006,Procurement-VendorX,64541.07
PRC-0007,Procurement-VendorX,79646.64
PRC-0008,Procurement-VendorX,44652.67
PRC-0009,Procurement-VendorX,51079.82
PRC-0010,Procurement-VendorX,74589.36
PRC-0011,Procurement-VendorX,55310.3
PRC-0012,Procurement-VendorX,69077.78
PRC-0013,Procurement-VendorX,63663.02
PRC-0014,Procurement-VendorX,66546.1
PRC-0015,Procurement-VendorX,61275.19
PRC-0016,Procurement-VendorX,77296.77
PRC-0017,Procurement-VendorX,56539.56
PRC-0018,Procurement-VendorX,75142.75
PRC-0019,Procurement-VendorX,53545.82
PRC-0020,Procurement-VendorX,52570.18
PRC-0021,Procurement-VendorX,46032.79
PRC-0022,Procurement-VendorX,49629.21
PRC-0023,Procurement-VendorX,45977.74
PRC-0024,Procurement-VendorX,66793.2
PRC-0025,Procurement-VendorX,78109.48
PRC-0026,Procurement-VendorX,49257.49
PRC-0027,Procurement-VendorX,50819.23
PRC-0028,Procurement-VendorX,64209.93
PRC-0029,Procurement-VendorX,76229.25
PRC-0030,Procurement-VendorX,88830.35
PRC-0031,Procurement-VendorX,66231.84
PRC-0032,Procurement-VendorX,54149.94
PRC-0033,Procurement-VendorX,45026.31
PRC-0034,Procurement-VendorX,49705.88
PRC-0035,Procurement-VendorX,51374.16
PRC-0036,Procurement-VendorX,48972.08
PRC-0037,Procurement-VendorX,40707.42
PRC-0038,Procurement-VendorX,66706.75
PRC-0039,Procurement-VendorX,53715.57
PRC-0040,Procurement-VendorX,88714.75
PRC-0041,Procurement-VendorX,67667.95
PRC-0042,Procurement-VendorX,74870.87
PRC-0043,Procurement-VendorX,46313.97
PRC-0044,Procurement-VendorX,83423.06
PRC-0045,Procurement-VendorX,64543.93
PRC-0046,Procurement-VendorX,83635.99
PRC-0047,Procurement-VendorX,68703.21
PRC-0048,Procurement-VendorX,63469.85
PRC-0049,Procurement-VendorX,62023.44
PRC-0050,Procurement-VendorX,49218.18
PRC-0051,Procurement-VendorX,42568.84
PRC-0052,Procurement-VendorX,87053.18
PRC-0053,Procurement-VendorX,63886.46
PRC-0054,Procurement-VendorX,81105.78
PRC-0055,Procurement-VendorX,60035.37
PRC-0056,Procurement-VendorX,43704.11
PRC-0057,Procurement-VendorX,71472.29
PRC-0058,Procurement-VendorX,42680.45
PRC-0059,Procurement-VendorX,47459.88
PRC-0060,Procurement-VendorX,68141.98
PRC-0061,Procurement-VendorX,55191.78
PRC-0062,Procurement-VendorX,89695.91
PRC-0063,Procurement-VendorX,45922.58
PRC-0064,Procurement-VendorX,78222.17
PRC-0065,Procurement-VendorX,70315.88
PRC-0066,Procurement-VendorX,79537.04
PRC-0067,Procurement-VendorX,51284.36
PRC-0068,Procurement-VendorX,66128.63
PRC-0069,Procurement-VendorX,62525.72
PRC-0070,Procurement-VendorX,62136.05
PRC-0071,Procurement-VendorX,83008.33
PRC-0072,Procurement-VendorX,89501.56
PRC-0073,Procurement-VendorX,55269.01
PRC-0074,Procurement-VendorX,71051.37
PRC-0075,Procurement-VendorX,70481.55
PRC-0076,Procurement-VendorX,77004.47
PRC-0077,Procurement-VendorX,87379.51
PRC-0078,Procurement-VendorX,50389.4
PRC-0079,Procurement-VendorX,50551.26
PRC-0080,Procurement-VendorX,73021.41
PRC-0081,Procurement-VendorX,47852.85
PRC-0082,Procurement-VendorX,48690.68
PRC-0083,Procurement-VendorX,43753.24
PRC-0084,Procurement-VendorX,40133.79
PRC-0085,Procurement-VendorX,62525.19
PRC-0086,Procurement-VendorX,69690.56
PRC-0087,Procurement-VendorX,54562.96
PRC-0088,Procurement-VendorX,51573.81
PRC-0089,Procurement-VendorX,75347.79
PRC-0090,Procurement-VendorX,75149.38
PRC-0091,Procurement-VendorX,62701.57
PRC-0092,Procurement-VendorX,74369.25
PRC-0093,Procurement-VendorX,86195.55
PRC-0094,Procurement-VendorX,79391.4
PRC-0095,Procurement-VendorX,71252.9
PRC-0096,Procurement-VendorX,73059.15
PRC-0097,Procurement-VendorX,86683.42
PRC-0098,Procurement-VendorX,61256.95
PRC-0099,Procurement-VendorX,67228.12
PRC-0100,Procurement-VendorX,72381.74
PRC-0101,Procurement-VendorX,85420.57
PRC-0102,Procurement-VendorX,81331.56
PRC-0103,Procurement-VendorX,43570.49
PRC-0104,Procurement-VendorX,48296.14
PRC-0105,Procurement-VendorX,55380.59
PRC-0106,Procurement-VendorX,77447.89
PRC-0107,Procurement-VendorX,68460.35
PRC-0108,Procurement-VendorX,54430.53
PRC-0109,Procurement-VendorX,46217.68
PRC-0110,Procurement-VendorX,74433.9
PRC-0111,Procurement-VendorX,74986.68
PRC-0112,Procurement-VendorX,87133.81
PRC-0113,Procurement-VendorX,65023.61
PRC-0114,Procurement-VendorX,64689.76
PRC-0115,Procurement-VendorX,44022.09
PRC-0116,Procurement-VendorX,41993.04
PRC-0117,Procurement-VendorX,61601.43
PRC-0118,Procurement-VendorX,56116.08
PRC-0119,Procurement-VendorX,52518.4
PRC-0120,Procurement-VendorX,44566.34
PRC-0121,Procurement-VendorX,88095.56
PRC-0122,Procurement-VendorX,81797.93
PRC-0123,Procurement-VendorX,68759.96
PRC-0124,Procurement-VendorX,87539.31
PRC-0125,Procurement-VendorX,89978.62
PRC-0126,Procurement-VendorX,73614.08
PRC-0127,Procurement-VendorX,53475.55
PRC-0128,Procurement-VendorX,42011.58
PRC-0129,Procurement-VendorX,77813.44
PRC-0130,Procurement-VendorX,63525.04
PRC-0131,Procurement-VendorX,72575.47
PRC-0132,Procurement-VendorX,85803.64
PRC-0133,Procurement-VendorX,49074.46
PRC-0134,Procurement-VendorX,69266.48
PRC-0135,Procurement-VendorX,71739.24
PRC-0136,Procurement-VendorX,64586.29
PRC-0137,Procurement-VendorX,44562.12
PRC-0138,Procurement-VendorX,57398.05
PRC-0139,Procurement-VendorX,56665.42
PRC-0140,Procurement-VendorX,73506.68
PRC-0141,Procurement-VendorX,82886.65
PRC-0142,Procurement-VendorX,56490.18
PRC-0143,Procurement-VendorX,74683.68
PRC-0144,Procurement-VendorX,54410.89
PRC-0145,Procurement-VendorX,87259.68
PRC-0146,Procurement-VendorX,80678.3
PRC-0147,Procurement-VendorX,67504.83
PRC-0148,Procurement-VendorX,62741.3
PRC-0149,Procurement-VendorX,55725.86
PRC-0150,Procurement-VendorX,56163.69
PRC-0151,Procurement-VendorX,88509.24
PRC-0152,Procurement-VendorX,60208.75
PRC-0153,Procurement-VendorX,65729.81
PRC-0154,Procurement-VendorX,89405.96
PRC-0155,Procurement-VendorX,72883.02
PRC-0156,Procurement-VendorX,67129.68
PRC-0157,Procurement-VendorX,60662.38
PRC-0158,Procurement-VendorX,49379.13
PRC-0159,Procurement-VendorX,58088.97
PRC-0160,Procurement-VendorX,77822.16
PRC-0161,Procurement-VendorX,71270.44
PRC-0162,Procurement-VendorX,77999.53
PRC-0163,Procurement-VendorX,50177.91
PRC-0164,Procurement-VendorX,67460.98
PRC-0165,Procurement-VendorX,86383.64
PRC-0166,Procurement-VendorX,61905.8
PRC-0167,Procurement-VendorX,74912.5
PRC-0168,Procurement-VendorX,46071.3
PRC-0169,Procurement-VendorX,88657.34
PRC-0170,Procurement-VendorX,70443.58
PRC-0171,Procurement-VendorX,51964.87
PRC-0172,Procurement-VendorX,47918.91
PRC-0173,Procurement-VendorX,67541.95
PRC-0174,Procurement-VendorX,67612.57
PRC-0175,Procurement-VendorX,44660.46
PRC-0176,Procurement-VendorX,89612.86
PRC-0177,Procurement-VendorX,85646.49
PRC-0178,Procurement-VendorX,63072.39
PRC-0179,Procurement-VendorX,45873.31
PRC-0180,Procurement-VendorX,81607.16
PRC-0181,Procurement-VendorX,64918.78
PRC-0182,Procurement-VendorX,75830.17
PRC-0183,Procurement-VendorX,65443.6
PRC-0184,Procurement-VendorX,53671.24
PRC-0185,Procurement-VendorX,81736.2
PRC-0186,Procurement-VendorX,89012.23
PRC-0187,Procurement-VendorX,52186.55
PRC-0188,Procurement-VendorX,67563.25
PRC-0189,Procurement-VendorX,59179.3
PRC-0190,Procurement-VendorX,86093.41
PRC-0191,Procurement-VendorX,65412.04
PRC-0192,Procurement-VendorX,83966.31
PRC-0193,Procurement-VendorX,83201.35
PRC-0194,Procurement-VendorX,53812.37
PRC-0195,Procurement-VendorX,79500.31
PRC-0196,Procurement-VendorX,60747.12
PRC-0197,Procurement-VendorX,86712.42
PRC-0198,Procurement-VendorX,65386.88
PRC-0199,Procurement-VendorX,81027.47
PRC-0200,Procurement-VendorX,54141.95
PRC-0201,Procurement-VendorX,54927.79
PRC-0202,Procurement-VendorX,69346.89
PRC-0203,Procurement-VendorX,89945.12
PRC-0204,Procurement-VendorX,64482.02
PRC-0205,Procurement-VendorX,47429.77
PRC-0206,Procurement-VendorX,66929.03
PRC-0207,Procurement-VendorX,57256.2
